Path,Method,Schema,Model Name,Supported,Datasource,Resource
/apps/snow.eda.nokia.com,GET,AppGroup,app_group,true,true,false
/apps/snow.eda.nokia.com/v1alpha1,GET,ResourceList,resource_list,true,true,false
/apps/snow.eda.nokia.com/v1alpha1/_ui/{pathname},GET,UIResult,,false,false,false
/apps/snow.eda.nokia.com/v1alpha1/clusterincidents,DELETE,com.nokia.eda.snow.v1alpha1.ClusterIncidentList,,false,false,false
/apps/snow.eda.nokia.com/v1alpha1/clusterincidents,GET,com.nokia.eda.snow.v1alpha1.ClusterIncidentList,cluster_incident_list,true,true,false
/apps/snow.eda.nokia.com/v1alpha1/clusterincidents,POST,com.nokia.eda.snow.v1alpha1.ClusterIncident,cluster_incident,true,false,true
/apps/snow.eda.nokia.com/v1alpha1/clusterincidents/_deleted,GET,com.nokia.eda.snow.v1alpha1.ClusterIncident_DeletedResources,,false,false,false
/apps/snow.eda.nokia.com/v1alpha1/clusterincidents/{name},DELETE,Status,cluster_incident,true,false,true
/apps/snow.eda.nokia.com/v1alpha1/clusterincidents/{name},GET,com.nokia.eda.snow.v1alpha1.ClusterIncident,cluster_incident,true,true,true
/apps/snow.eda.nokia.com/v1alpha1/clusterincidents/{name},PATCH,Patch,,false,false,false
/apps/snow.eda.nokia.com/v1alpha1/clusterincidents/{name},PUT,com.nokia.eda.snow.v1alpha1.ClusterIncident,cluster_incident,true,false,true
/apps/snow.eda.nokia.com/v1alpha1/clusterincidents/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/snow.eda.nokia.com/v1alpha1/clusterincidents/{name}/_targets,GET,IntentTargets,,false,false,false
/apps/snow.eda.nokia.com/v1alpha1/clusterincidents/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/snow.eda.nokia.com/v1alpha1/clusterincidents/{name}/_topology,POST,K8STopologyRequest,,false,false,false
/apps/snow.eda.nokia.com/v1alpha1/clusterinstances,DELETE,com.nokia.eda.snow.v1alpha1.ClusterInstanceList,,false,false,false
/apps/snow.eda.nokia.com/v1alpha1/clusterinstances,GET,com.nokia.eda.snow.v1alpha1.ClusterInstanceList,cluster_instance_list,true,true,false
/apps/snow.eda.nokia.com/v1alpha1/clusterinstances,POST,com.nokia.eda.snow.v1alpha1.ClusterInstance,cluster_instance,true,false,true
/apps/snow.eda.nokia.com/v1alpha1/clusterinstances/_deleted,GET,com.nokia.eda.snow.v1alpha1.ClusterInstance_DeletedResources,,false,false,false
/apps/snow.eda.nokia.com/v1alpha1/clusterinstances/{name},DELETE,Status,cluster_instance,true,false,true
/apps/snow.eda.nokia.com/v1alpha1/clusterinstances/{name},GET,com.nokia.eda.snow.v1alpha1.ClusterInstance,cluster_instance,true,true,true
/apps/snow.eda.nokia.com/v1alpha1/clusterinstances/{name},PATCH,Patch,,false,false,false
/apps/snow.eda.nokia.com/v1alpha1/clusterinstances/{name},PUT,com.nokia.eda.snow.v1alpha1.ClusterInstance,cluster_instance,true,false,true
/apps/snow.eda.nokia.com/v1alpha1/clusterinstances/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/snow.eda.nokia.com/v1alpha1/clusterinstances/{name}/_targets,GET,IntentTargets,,false,false,false
/apps/snow.eda.nokia.com/v1alpha1/clusterinstances/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/snow.eda.nokia.com/v1alpha1/clusterinstances/{name}/_topology,POST,K8STopologyRequest,,false,false,false
/apps/snow.eda.nokia.com/v1alpha1/incidents,GET,com.nokia.eda.snow.v1alpha1.IncidentList,,false,false,false
/apps/snow.eda.nokia.com/v1alpha1/instances,GET,com.nokia.eda.snow.v1alpha1.InstanceList,,false,false,false
/apps/snow.eda.nokia.com/v1alpha1/namespaces/{namespace}/incidents,DELETE,com.nokia.eda.snow.v1alpha1.IncidentList,,false,false,false
/apps/snow.eda.nokia.com/v1alpha1/namespaces/{namespace}/incidents,GET,com.nokia.eda.snow.v1alpha1.IncidentList,incident_list,true,true,false
/apps/snow.eda.nokia.com/v1alpha1/namespaces/{namespace}/incidents,POST,com.nokia.eda.snow.v1alpha1.Incident,incident,true,false,true
/apps/snow.eda.nokia.com/v1alpha1/namespaces/{namespace}/incidents/_deleted,GET,com.nokia.eda.snow.v1alpha1.Incident_DeletedResources,,false,false,false
/apps/snow.eda.nokia.com/v1alpha1/namespaces/{namespace}/incidents/{name},DELETE,Status,incident,true,false,true
/apps/snow.eda.nokia.com/v1alpha1/namespaces/{namespace}/incidents/{name},GET,com.nokia.eda.snow.v1alpha1.Incident,incident,true,true,true
/apps/snow.eda.nokia.com/v1alpha1/namespaces/{namespace}/incidents/{name},PATCH,Patch,,false,false,false
/apps/snow.eda.nokia.com/v1alpha1/namespaces/{namespace}/incidents/{name},PUT,com.nokia.eda.snow.v1alpha1.Incident,incident,true,false,true
/apps/snow.eda.nokia.com/v1alpha1/namespaces/{namespace}/incidents/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/snow.eda.nokia.com/v1alpha1/namespaces/{namespace}/incidents/{name}/_targets,GET,IntentTargets,,false,false,false
/apps/snow.eda.nokia.com/v1alpha1/namespaces/{namespace}/incidents/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/snow.eda.nokia.com/v1alpha1/namespaces/{namespace}/incidents/{name}/_topology,POST,K8STopologyRequest,,false,false,false
/apps/snow.eda.nokia.com/v1alpha1/namespaces/{namespace}/instances,DELETE,com.nokia.eda.snow.v1alpha1.InstanceList,,false,false,false
/apps/snow.eda.nokia.com/v1alpha1/namespaces/{namespace}/instances,GET,com.nokia.eda.snow.v1alpha1.InstanceList,instance_list,true,true,false
/apps/snow.eda.nokia.com/v1alpha1/namespaces/{namespace}/instances,POST,com.nokia.eda.snow.v1alpha1.Instance,instance,true,false,true
/apps/snow.eda.nokia.com/v1alpha1/namespaces/{namespace}/instances/_deleted,GET,com.nokia.eda.snow.v1alpha1.Instance_DeletedResources,,false,false,false
/apps/snow.eda.nokia.com/v1alpha1/namespaces/{namespace}/instances/{name},DELETE,Status,instance,true,false,true
/apps/snow.eda.nokia.com/v1alpha1/namespaces/{namespace}/instances/{name},GET,com.nokia.eda.snow.v1alpha1.Instance,instance,true,true,true
/apps/snow.eda.nokia.com/v1alpha1/namespaces/{namespace}/instances/{name},PATCH,Patch,,false,false,false
/apps/snow.eda.nokia.com/v1alpha1/namespaces/{namespace}/instances/{name},PUT,com.nokia.eda.snow.v1alpha1.Instance,instance,true,false,true
/apps/snow.eda.nokia.com/v1alpha1/namespaces/{namespace}/instances/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/snow.eda.nokia.com/v1alpha1/namespaces/{namespace}/instances/{name}/_targets,GET,IntentTargets,,false,false,false
/apps/snow.eda.nokia.com/v1alpha1/namespaces/{namespace}/instances/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/snow.eda.nokia.com/v1alpha1/namespaces/{namespace}/instances/{name}/_topology,POST,K8STopologyRequest,,false,false,false
